index,ground_truth
0,13.44 height
1,33.09 width
2,15.77 height
3,71.35 depth
4,51.76 depth
5,44.77 height
6,34.82 width
7,22.24 height
8,45.09 width
9,81.90 height
10,46.95 item_weight
11,81.55 width
12,67.10 depth
13,78.91 height
14,94.37 width
15,30.92 item_weight
16,45.02 maximum_weight_recommendation
17,94.16 item_weight
18,35.32 wattage
19,39.92 voltage
20,24.98 width
21,56.29 width
22,86.26 item_volume
23,39.67 width
24,4.28 depth
25,72.90 width
26,8.18 depth
27,18.49 item_weight
28,50.78 item_weight
29,11.45 item_weight
30,73.59 item_weight
31,27.26 item_weight
32,81.41 width
33,97.82 depth
34,32.16 height
35,9.11 item_weight
36,25.67 height
37,46.30 voltage
38,84.51 wattage
39,37.85 depth
40,13.11 width
41,94.88 height
42,92.13 width
43,46.01 height
44,45.15 height
45,14.11 depth
46,7.94 height
47,86.93 width
48,33.36 width
49,49.67 depth
50,70.27 height
51,60.80 item_weight
52,27.11 wattage
53,81.56 depth
54,7.33 height
55,20.59 width
56,67.08 item_weight
57,32.22 depth
58,77.84 width
59,85.90 wattage
60,21.47 voltage
61,74.07 item_weight
62,17.21 height
63,70.55 depth
64,75.63 width
65,72.82 voltage
66,93.92 item_weight
67,80.56 height
68,48.86 width
69,71.75 height
70,94.16 depth
71,78.72 width
72,2.55 height
73,77.57 depth
74,26.38 wattage
75,58.05 voltage
76,46.21 height
77,33.70 depth
78,7.52 item_weight
79,45.11 height
80,47.84 item_weight
81,16.07 maximum_weight_recommendation
82,73.80 item_weight
83,55.75 item_weight
84,55.84 height
85,77.79 width
86,63.77 depth
87,50.09 wattage
88,46.14 voltage
89,24.24 item_weight
90,20.31 width
91,91.53 maximum_weight_recommendation
92,69.39 width
93,3.22 height
94,48.50 item_weight
95,1.71 height
96,18.19 width
97,85.64 voltage
98,78.56 height
99,15.31 depth
100,14.70 height
101,24.56 item_volume
102,19.72 wattage
103,28.41 width
104,62.96 height
105,41.13 height
106,23.65 width
107,17.86 height
108,71.39 item_weight
109,25.85 height
110,79.53 height
111,64.03 item_weight
112,57.64 wattage
113,95.78 item_weight
114,49.11 item_weight
115,22.08 wattage
116,61.02 item_weight
117,53.99 item_weight
118,20.99 width
119,32.55 depth
120,80.64 item_weight
121,40.08 depth
122,24.68 item_weight
123,11.26 maximum_weight_recommendation
124,92.35 item_weight
125,81.78 item_weight
126,96.03 voltage
127,22.54 height
128,34.63 width
129,34.18 item_weight
130,87.87 width
131,95.95 width
132,14.98 height
133,96.83 depth
134,55.49 maximum_weight_recommendation
135,29.78 height
136,64.93 depth
137,3.63 height
138,92.74 height
139,67.82 width
140,85.87 depth
141,18.68 height
142,38.79 depth
143,8.70 width
144,18.35 depth
145,10.80 height
146,52.36 width
147,51.40 item_volume
148,31.55 width
149,38.03 depth
150,76.27 item_weight
151,13.16 height
152,27.63 depth
153,79.31 height
154,72.77 width
155,62.51 height
156,26.42 width
157,67.71 width
158,72.47 height
159,26.33 item_weight
160,48.25 height
161,20.48 item_volume
162,10.25 height
163,28.29 width
164,62.43 item_weight
165,82.64 voltage
166,5.81 wattage
167,59.55 item_weight
168,92.52 width
169,39.03 depth
170,74.13 item_weight
171,28.73 height
172,17.28 item_weight
173,81.62 width
174,92.74 height
175,14.40 width
176,11.88 item_weight
177,35.06 depth
178,46.99 maximum_weight_recommendation
179,24.82 depth
180,80.81 width
181,31.40 item_weight
182,14.23 height
183,35.12 wattage
184,84.24 voltage
185,14.33 item_weight
186,97.06 width
187,27.43 depth
188,64.32 height
189,68.99 depth
190,19.51 item_weight
191,81.68 depth
192,87.58 height
193,64.15 item_weight
194,21.94 height
195,75.79 height
196,10.12 width
197,78.48 maximum_weight_recommendation
198,75.74 item_weight
199,60.50 item_weight
200,77.13 height
201,32.44 depth
202,18.43 width
203,6.08 height
204,14.84 depth
205,1.09 wattage
206,15.21 voltage
207,18.63 height
208,6.65 item_weight
209,13.84 item_weight
210,28.66 depth
211,26.77 item_weight
212,9.72 height
213,53.94 voltage
214,1.75 width
215,71.91 height
216,43.50 voltage
217,86.50 wattage
218,41.41 item_weight
219,9.00 item_weight
220,46.96 depth
221,10.18 height
222,56.08 height
223,2.58 item_weight
224,46.07 depth
225,69.00 width
226,4.56 height
227,76.72 item_weight
228,95.68 maximum_weight_recommendation
229,62.86 wattage
230,86.93 voltage
231,26.94 height
232,68.62 item_weight
233,69.62 width
234,94.38 depth
235,59.63 width
236,95.09 width
237,17.58 width
238,66.04 depth
239,47.98 height
240,14.18 width
241,76.57 height
242,1.38 height
243,60.76 depth
244,57.80 depth
245,2.98 depth
246,73.24 width
247,25.86 height
248,50.27 width
249,54.92 width
250,87.07 depth
251,87.15 width
252,92.42 item_weight
253,80.33 item_volume
254,4.25 depth
255,94.44 depth
256,96.73 height
257,95.27 width
258,34.27 width
259,13.56 depth
260,85.97 maximum_weight_recommendation
261,77.51 item_weight
262,43.75 width
263,62.69 width
264,25.42 height
265,71.64 height
266,55.30 depth
267,89.24 height
268,49.17 width
269,73.18 depth
270,33.58 height
271,37.95 width
272,27.10 depth
273,69.97 item_weight
274,63.55 height
275,36.71 depth
276,99.32 item_weight
277,35.39 wattage
278,67.14 voltage
279,44.62 depth
280,51.03 height
281,73.02 item_weight
282,44.79 depth
283,71.99 width
284,61.13 item_weight
285,54.73 height
286,10.61 width
287,26.28 voltage
288,70.76 depth
289,81.87 height
290,13.65 item_weight
291,48.75 height
292,78.90 depth
293,40.89 maximum_weight_recommendation
294,43.76 depth
295,80.41 width
296,14.64 width
297,67.90 height
298,32.62 wattage
299,81.06 voltage
300,11.02 voltage
301,85.43 voltage
302,1.79 wattage
303,11.84 item_weight
304,10.71 depth
305,45.86 depth
306,29.71 item_weight
307,18.12 height
